task_id,algorithm,fold,classif.auc,classif.ce
vowel,featureless,1,,0.927272727272727
vowel,featureless,2,,0.927272727272727
vowel,featureless,3,,0.898989898989899
vowel,featureless,4,,0.909090909090909
vowel,featureless,5,,0.939393939393939
vowel,featureless,6,,0.949494949494949
vowel,featureless,7,,0.878787878787879
vowel,featureless,8,,0.929292929292929
vowel,featureless,9,,0.886363636363636
vowel,featureless,10,,0.909090909090909
waveform,featureless,1,,0.662650602409639
waveform,featureless,2,,0.662650602409639
waveform,featureless,3,,0.658536585365854
waveform,featureless,4,,0.666666666666667
waveform,featureless,5,,0.6625
waveform,featureless,6,,0.658227848101266
waveform,featureless,7,,0.653846153846154
waveform,featureless,8,,0.653846153846154
waveform,featureless,9,,0.653846153846154
waveform,featureless,10,,0.653846153846154
zipUSPS,featureless,1,,0.833688699360341
zipUSPS,featureless,2,,0.833511205976521
zipUSPS,featureless,3,,0.833155080213904
zipUSPS,featureless,4,,0.833155080213904
zipUSPS,featureless,5,,0.833512352309345
zipUSPS,featureless,6,,0.833153928955866
zipUSPS,featureless,7,,0.832613390928726
zipUSPS,featureless,8,,0.832251082251082
zipUSPS,featureless,9,,0.831887201735358
zipUSPS,featureless,10,,0.832790445168295
aztrees3,nearest_neighbors,1,0.977941176470588,0.0050251256281407
aztrees3,nearest_neighbors,2,0.977899477371288,0.0050251256281407
aztrees3,nearest_neighbors,3,0.954937173357056,0.0117252931323283
aztrees3,nearest_neighbors,4,0.97014344490159,0.0134003350083752
aztrees3,nearest_neighbors,5,0.977857620320856,0.00838926174496644
aztrees3,nearest_neighbors,6,0.970149253731343,0.00840336134453782
aztrees3,nearest_neighbors,7,0.962474559023066,0.00840336134453782
aztrees3,nearest_neighbors,8,0.992509045680688,0.00168067226890756
aztrees3,nearest_neighbors,9,0.992537313432836,0.00168350168350168
aztrees3,nearest_neighbors,10,0.96969696969697,0.00674536256323777
aztrees4,nearest_neighbors,1,0.955882352941176,0.0100334448160535
aztrees4,nearest_neighbors,2,0.977816315205328,0.00668896321070234
aztrees4,nearest_neighbors,3,0.985294117647059,0.00334448160535117
aztrees4,nearest_neighbors,4,0.963235294117647,0.00837520938023451
aztrees4,nearest_neighbors,5,0.963235294117647,0.00838926174496644
aztrees4,nearest_neighbors,6,0.984127657168701,0.00504201680672269
aztrees4,nearest_neighbors,7,0.970149253731343,0.00672268907563025
aztrees4,nearest_neighbors,8,0.962615763686312,0.00841750841750842
aztrees4,nearest_neighbors,9,0.984975313546336,0.00505902192242833
aztrees4,nearest_neighbors,10,0.9924098398433,0.00168918918918919
CanadaFires_all,nearest_neighbors,1,0.984898121496743,0.037037037037037
CanadaFires_all,nearest_neighbors,2,0.997483093989818,0.022680412371134
CanadaFires_all,nearest_neighbors,3,0.985981308411215,0.0577319587628866
CanadaFires_all,nearest_neighbors,4,0.99268672593268,0.0247422680412371
CanadaFires_all,nearest_neighbors,5,0.991871165644172,0.0227743271221532
CanadaFires_all,nearest_neighbors,6,0.984470858895705,0.0434782608695652
CanadaFires_all,nearest_neighbors,7,0.992105313768102,0.024896265560166
CanadaFires_all,nearest_neighbors,8,0.991022206693066,0.0291666666666667
CanadaFires_all,nearest_neighbors,9,0.989970311340287,0.0313152400835073
CanadaFires_all,nearest_neighbors,10,0.991571936403766,0.0271398747390397
CanadaFires_downSampled,nearest_neighbors,1,0.980629539951574,0.0533333333333333
