grid_job_i,task.i,learner.i,resampling.i,task_id,learner_id,resampling_id,test.subset,train.subsets,groups,test.fold,seed,n.train.groups,iteration,Train_subsets,start.time,end.time,process,classif.acc
189,2,1,1,waveform,classif.cv_glmnet,same_other_sizes_cv,train,other,450,3,1,450,69,other,2026-03-03T13:39:40.633558Z,2026-03-03T13:39:48.317577Z,32,0.903225806451613
18,2,2,1,waveform,classif.featureless,same_other_sizes_cv,train,all,720,3,1,720,18,all,2026-03-03T13:28:23.529021Z,2026-03-03T13:30:41.135190Z,35,0.32258064516129
190,2,1,1,waveform,classif.cv_glmnet,same_other_sizes_cv,test,other,270,4,1,270,70,other,2026-03-03T13:39:40.776711Z,2026-03-03T13:39:48.425782Z,29,0.8
191,2,1,1,waveform,classif.cv_glmnet,same_other_sizes_cv,train,other,450,4,1,270,71,other,2026-03-03T13:39:40.837355Z,2026-03-03T13:39:48.690559Z,30,0.870967741935484
192,2,1,1,waveform,classif.cv_glmnet,same_other_sizes_cv,train,other,450,4,1,450,72,other,2026-03-03T13:39:41.001Z,2026-03-03T13:39:48.712842Z,31,0.870967741935484
193,2,1,1,waveform,classif.cv_glmnet,same_other_sizes_cv,test,other,270,5,1,270,73,other,2026-03-03T13:39:41.018208Z,2026-03-03T13:39:48.694348Z,38,0.8
194,2,1,1,waveform,classif.cv_glmnet,same_other_sizes_cv,train,other,450,5,1,270,74,other,2026-03-03T13:39:41.130779Z,2026-03-03T13:39:48.711370Z,42,0.7
195,2,1,1,waveform,classif.cv_glmnet,same_other_sizes_cv,train,other,450,5,1,450,75,other,2026-03-03T13:39:46.075538Z,2026-03-03T13:39:53.842131Z,35,0.7
196,2,1,1,waveform,classif.cv_glmnet,same_other_sizes_cv,test,other,270,6,1,270,76,other,2026-03-03T13:39:46.238017Z,2026-03-03T13:39:53.973681Z,33,0.877551020408163
197,2,1,1,waveform,classif.cv_glmnet,same_other_sizes_cv,train,other,450,6,1,270,77,other,2026-03-03T13:39:46.284429Z,2026-03-03T13:39:54.122369Z,43,0.833333333333333
198,2,1,1,waveform,classif.cv_glmnet,same_other_sizes_cv,train,other,450,6,1,450,78,other,2026-03-03T13:39:46.288599Z,2026-03-03T13:39:54.126499Z,34,0.833333333333333
199,2,1,1,waveform,classif.cv_glmnet,same_other_sizes_cv,test,other,270,7,1,270,79,other,2026-03-03T13:39:46.902664Z,2026-03-03T13:39:54.470400Z,39,0.857142857142857
19,2,2,1,waveform,classif.featureless,same_other_sizes_cv,test,all,720,4,1,270,19,all,2026-03-03T13:28:23.529089Z,2026-03-03T13:30:41.134563Z,19,0.34
1,2,2,1,waveform,classif.featureless,same_other_sizes_cv,test,all,720,1,1,270,1,all,2026-03-03T13:28:23.528534Z,2026-03-03T13:30:41.134569Z,37,0.346153846153846
200,2,1,1,waveform,classif.cv_glmnet,same_other_sizes_cv,train,other,450,7,1,270,80,other,2026-03-03T13:39:47.057589Z,2026-03-03T13:39:54.833382Z,37,0.827586206896552
201,2,1,1,waveform,classif.cv_glmnet,same_other_sizes_cv,train,other,450,7,1,450,81,other,2026-03-03T13:39:47.338465Z,2026-03-03T13:39:55.115213Z,28,0.793103448275862
202,2,1,1,waveform,classif.cv_glmnet,same_other_sizes_cv,test,other,270,8,1,270,82,other,2026-03-03T13:39:47.900510Z,2026-03-03T13:39:55.844918Z,36,0.755102040816326
203,2,1,1,waveform,classif.cv_glmnet,same_other_sizes_cv,train,other,450,8,1,270,83,other,2026-03-03T13:39:48.018232Z,2026-03-03T13:39:55.385847Z,41,0.896551724137931
204,2,1,1,waveform,classif.cv_glmnet,same_other_sizes_cv,train,other,450,8,1,450,84,other,2026-03-03T13:39:48.034302Z,2026-03-03T13:39:56.215199Z,40,0.793103448275862
205,2,1,1,waveform,classif.cv_glmnet,same_other_sizes_cv,test,other,270,9,1,270,85,other,2026-03-03T13:39:48.323756Z,2026-03-03T13:39:55.880451Z,32,0.795918367346939
206,2,1,1,waveform,classif.cv_glmnet,same_other_sizes_cv,train,other,450,9,1,270,86,other,2026-03-03T13:39:48.431583Z,2026-03-03T13:39:55.908964Z,29,0.862068965517241
207,2,1,1,waveform,classif.cv_glmnet,same_other_sizes_cv,train,other,450,9,1,450,87,other,2026-03-03T13:39:48.696701Z,2026-03-03T13:39:56.307017Z,30,0.862068965517241
208,2,1,1,waveform,classif.cv_glmnet,same_other_sizes_cv,test,other,270,10,1,270,88,other,2026-03-03T13:39:48.700088Z,2026-03-03T13:39:56.112250Z,38,0.857142857142857
209,2,1,1,waveform,classif.cv_glmnet,same_other_sizes_cv,train,other,450,10,1,270,89,other,2026-03-03T13:39:48.717088Z,2026-03-03T13:39:56.266787Z,42,0.862068965517241
20,2,2,1,waveform,classif.featureless,same_other_sizes_cv,test,all,720,4,1,450,20,all,2026-03-03T13:28:23.529087Z,2026-03-03T13:30:41.135129Z,5,0.34
210,2,1,1,waveform,classif.cv_glmnet,same_other_sizes_cv,train,other,450,10,1,450,90,other,2026-03-03T13:39:48.718488Z,2026-03-03T13:39:56.173944Z,31,0.896551724137931
211,2,1,1,waveform,classif.cv_glmnet,same_other_sizes_cv,test,same,450,1,1,270,91,same,2026-03-03T13:39:53.848345Z,2026-03-03T13:40:01.233297Z,35,0.884615384615385
212,2,1,1,waveform,classif.cv_glmnet,same_other_sizes_cv,test,same,450,1,1,450,92,same,2026-03-03T13:39:53.979758Z,2026-03-03T13:40:01.467936Z,33,0.826923076923077
213,2,1,1,waveform,classif.cv_glmnet,same_other_sizes_cv,train,same,270,1,1,270,93,same,2026-03-03T13:39:54.128626Z,2026-03-03T13:40:01.487427Z,43,0.774193548387097
214,2,1,1,waveform,classif.cv_glmnet,same_other_sizes_cv,test,same,450,2,1,270,94,same,2026-03-03T13:39:54.132250Z,2026-03-03T13:40:01.551083Z,34,0.903846153846154
215,2,1,1,waveform,classif.cv_glmnet,same_other_sizes_cv,test,same,450,2,1,450,95,same,2026-03-03T13:39:54.476512Z,2026-03-03T13:40:01.995111Z,39,0.846153846153846
216,2,1,1,waveform,classif.cv_glmnet,same_other_sizes_cv,train,same,270,2,1,270,96,same,2026-03-03T13:39:54.839380Z,2026-03-03T13:40:02.723798Z,37,0.741935483870968
217,2,1,1,waveform,classif.cv_glmnet,same_other_sizes_cv,test,same,450,3,1,270,97,same,2026-03-03T13:39:55.121312Z,2026-03-03T13:40:02.642812Z,28,0.823529411764706
218,2,1,1,waveform,classif.cv_glmnet,same_other_sizes_cv,test,same,450,3,1,450,98,same,2026-03-03T13:39:55.391987Z,2026-03-03T13:40:03.047451Z,41,0.901960784313725
219,2,1,1,waveform,classif.cv_glmnet,same_other_sizes_cv,train,same,270,3,1,270,99,same,2026-03-03T13:39:55.850970Z,2026-03-03T13:40:03.388873Z,36,0.774193548387097
21,2,2,1,waveform,classif.featureless,same_other_sizes_cv,test,all,720,4,1,720,21,all,2026-03-03T13:28:23.529126Z,2026-03-03T13:30:41.134522Z,14,0.34
220,2,1,1,waveform,classif.cv_glmnet,same_other_sizes_cv,test,same,450,4,1,270,100,same,2026-03-03T13:39:55.886842Z,2026-03-03T13:40:03.579406Z,32,0.78
221,2,1,1,waveform,classif.cv_glmnet,same_other_sizes_cv,test,same,450,4,1,450,101,same,2026-03-03T13:39:55.915078Z,2026-03-03T13:40:03.770094Z,29,0.82
222,2,1,1,waveform,classif.cv_glmnet,same_other_sizes_cv,train,same,270,4,1,270,102,same,2026-03-03T13:39:56.118360Z,2026-03-03T13:40:03.855432Z,38,0.838709677419355
223,2,1,1,waveform,classif.cv_glmnet,same_other_sizes_cv,test,same,450,5,1,270,103,same,2026-03-03T13:39:56.179828Z,2026-03-03T13:40:04.140093Z,31,0.84
224,2,1,1,waveform,classif.cv_glmnet,same_other_sizes_cv,test,same,450,5,1,450,104,same,2026-03-03T13:39:56.221175Z,2026-03-03T13:40:03.751400Z,40,0.84
225,2,1,1,waveform,classif.cv_glmnet,same_other_sizes_cv,train,same,270,5,1,270,105,same,2026-03-03T13:39:56.273063Z,2026-03-03T13:40:04.148844Z,42,0.766666666666667
226,2,1,1,waveform,classif.cv_glmnet,same_other_sizes_cv,test,same,450,6,1,270,106,same,2026-03-03T13:39:56.313206Z,2026-03-03T13:40:04.350200Z,30,0.857142857142857
227,2,1,1,waveform,classif.cv_glmnet,same_other_sizes_cv,test,same,450,6,1,450,107,same,2026-03-03T13:40:01.239122Z,2026-03-03T13:40:08.622445Z,35,0.836734693877551
228,2,1,1,waveform,classif.cv_glmnet,same_other_sizes_cv,train,same,270,6,1,270,108,same,2026-03-03T13:40:01.474124Z,2026-03-03T13:40:08.855170Z,33,0.8
229,2,1,1,waveform,classif.cv_glmnet,same_other_sizes_cv,test,same,450,7,1,270,109,same,2026-03-03T13:40:01.493028Z,2026-03-03T13:40:09.074273Z,43,0.755102040816326
