grid_job_i,task.i,learner.i,resampling.i,task_id,learner_id,resampling_id,test.subset,train.subsets,groups,test.fold,seed,n.train.groups,iteration,Train_subsets,start.time,end.time,process,classif.auc,classif.acc
19,1,1,1,NSCH_autism,classif.cv_glmnet,same_other_sizes_cv,2019,all,41408,10,1,41408,57,all,2026-02-24T03:17:56.617415Z,2026-02-24T03:23:00.814580Z,62,0.963781345084461,0.970313358988455
1,1,1,1,NSCH_autism,classif.cv_glmnet,same_other_sizes_cv,2019,all,41408,1,1,41408,3,all,2026-02-24T03:17:56.616506Z,2026-02-24T03:22:46.642220Z,30,0.983856686914444,0.979132344865459
200,1,2,1,NSCH_autism,classif.featureless,same_other_sizes_cv,2020,all,41408,10,1,16381,58,all,2026-02-24T03:19:58.490115Z,2026-02-24T03:19:59.157006Z,44,0.5,0.969424460431655
201,1,2,1,NSCH_autism,classif.featureless,same_other_sizes_cv,2019,other,25027,1,1,16381,61,other,2026-02-24T03:19:58.519785Z,2026-02-24T03:19:59.513115Z,27,0.5,0.969796814936848
202,1,2,1,NSCH_autism,classif.featureless,same_other_sizes_cv,2020,other,16381,1,1,16381,63,other,2026-02-24T03:19:58.899535Z,2026-02-24T03:19:59.691032Z,15,0.5,0.969086987778577
203,1,2,1,NSCH_autism,classif.featureless,same_other_sizes_cv,2019,other,25027,2,1,16381,64,other,2026-02-24T03:19:59.074045Z,2026-02-24T03:19:59.930297Z,12,0.5,0.969796814936848
204,1,2,1,NSCH_autism,classif.featureless,same_other_sizes_cv,2020,other,16381,2,1,16381,66,other,2026-02-24T03:19:59.161894Z,2026-02-24T03:19:59.779265Z,44,0.5,0.969075871988493
205,1,2,1,NSCH_autism,classif.featureless,same_other_sizes_cv,2019,other,25027,3,1,16381,67,other,2026-02-24T03:19:59.518547Z,2026-02-24T03:20:00.518149Z,27,0.5,0.969796814936848
206,1,2,1,NSCH_autism,classif.featureless,same_other_sizes_cv,2020,other,16381,3,1,16381,69,other,2026-02-24T03:19:59.695940Z,2026-02-24T03:20:00.531622Z,15,0.5,0.969075871988493
207,1,2,1,NSCH_autism,classif.featureless,same_other_sizes_cv,2019,other,25027,4,1,16381,70,other,2026-02-24T03:19:59.783706Z,2026-02-24T03:20:00.370115Z,44,0.5,0.969796814936848
208,1,2,1,NSCH_autism,classif.featureless,same_other_sizes_cv,2020,other,16381,4,1,16381,72,other,2026-02-24T03:19:59.936573Z,2026-02-24T03:20:00.783993Z,12,0.5,0.969075871988493
209,1,2,1,NSCH_autism,classif.featureless,same_other_sizes_cv,2019,other,25027,5,1,16381,73,other,2026-02-24T03:20:00.374325Z,2026-02-24T03:20:00.963582Z,44,0.5,0.969796814936848
20,1,1,1,NSCH_autism,classif.cv_glmnet,same_other_sizes_cv,2020,all,41408,10,1,41408,60,all,2026-02-24T03:17:56.617568Z,2026-02-24T03:20:53.541452Z,7,0.957398232020082,0.972661870503597
210,1,2,1,NSCH_autism,classif.featureless,same_other_sizes_cv,2020,other,16381,5,1,16381,75,other,2026-02-24T03:20:00.470974Z,2026-02-24T03:20:01.057912Z,96,0.5,0.969075871988493
211,1,2,1,NSCH_autism,classif.featureless,same_other_sizes_cv,2019,other,25027,6,1,16381,76,other,2026-02-24T03:20:00.523819Z,2026-02-24T03:20:01.485842Z,27,0.5,0.969796814936848
212,1,2,1,NSCH_autism,classif.featureless,same_other_sizes_cv,2020,other,16381,6,1,16381,78,other,2026-02-24T03:20:00.536024Z,2026-02-24T03:20:01.564367Z,15,0.5,0.969075871988493
